id,y
897212bf,0
2ad6d4ae,1
a193003e,0
3f639630,0
dfe76b9d,0
6e3be906,1
78c5b9f9,0
104d0ad5,0
f7c2669b,0
3bb2baee,0
de2e6707,0
2d1fe87c,1
41923276,0
1097cce1,0
d30ec180,0
927c722a,0
be6fdc0b,0
b4f390ed,0
74f98418,0
03dfdde7,0
76b9a810,0
311f2713,0
310cae54,0
9a17ff50,0
b713a47e,0
d415b4d8,0
855fb7f9,0
98075479,0
9ce04c91,0
a313c139,0
9d11a20a,0
d41443df,0
106585ce,0
882d472b,0
fe859276,0
066fc3a3,0
b5463400,0
e23a6d6c,0
8d50204c,0
430dadfb,0
8f11cf57,0
96131ba0,0
c09ae7ab,1
c5708cb3,0
799b6fb8,0
786cabaa,0
66d14cfa,0
2a1ba268,0
df2bf4ca,0
f35d915c,0
85674458,0
4ef12abe,0
7088e941,1
db4fc783,0
3c3a9ef0,0
10da18af,0
77be0d28,0
0d00d4f5,0
590ad92d,0
7edd7045,1
d53dc9bf,0
4b89cc50,0
ab087ef2,0
70064a7a,0
c498ba21,0
2ab4d611,0
0d9bb8ca,0
6b413a2c,0
676aff27,0
2db73b46,0
7f84abc8,0
bb691bda,0
678d668b,0
0950fd26,0
0d5d4cf1,0
1769e87f,0
dbbfe720,0
2682e129,0
0cae5b5c,0
f78e509b,0
999c5699,0
317a64dc,0
9615da9b,0
1933de72,0
31c03dd7,0
f05fb320,0
e1f5a44b,0
4d298fd9,0
1201e853,0
8cb8b73c,0
d04ee344,0
bfb62326,0
dcf6d776,1
91b32c33,0
0a018462,0
26f8cc4d,0
a1e3c9de,1
14d9cf63,0
e9fec7b1,0
a7a3b293,0
5fee3d88,0
7daf940a,0
d8720fe0,1
c77da748,1
2c9cddb3,0
19b74ef9,0
1c5da5c1,0
9702f135,0
80972f34,0
1127137b,0
5c6836f6,0
e26016d8,0
7581bb05,0
5b919ee2,0
ab08b028,0
8c07d4ce,0
dc1f9d45,0
38dd8058,0
881b57fb,0
83ae0c19,0
75035050,1
be7e75d2,0
232e8055,0
7c00f9b3,0
36621753,0
cc367af4,1
381b736b,0
7d3b5fb0,1
5f72e749,0
e8bdf8b0,0
a82a7eb4,0
8766da45,0
77a104ef,0
0c046214,0
7ad90fd2,0
8fcd83e0,0
0b167ef5,1
a4194019,0
abbba5a2,1
07a8a1cd,0
81e8aac3,1
1f8ffdbf,1
a38c087d,0
488e855f,0
552601d0,0
bf222922,0
3cdf9476,0
905cc8ec,0
d769e27e,0
fb78c337,0
c21b5971,0
47f43726,0
3d662ded,0
868b5c30,0
f316ad18,0
9b08ac96,0
9fad360a,1
3d377fb5,1
7383e3c0,0
28b5ba8c,0
7bf8a9a3,0
255234de,0
fe57ea00,0
f40318e4,0
659ffb56,1
46e25f9f,0
eccfed5e,0
8bc80d4c,1
e9d45f27,0
3b720855,0
a6e5f59a,0
c323ac1e,0
2873ef79,0
5a67ae26,0
7f955e74,0
efa7232b,0
475ad710,0
0ec5326a,0
7fb40c6b,0
cab2fd97,0
b09bfb30,0
d8855202,0
39156bcd,1
3ef58e14,0
cedb2819,0
9459d75f,0
c5c3afbb,0
6a93909e,0
827e58ba,1
c5a5368e,0
04a26869,0
a1e9cfff,0
a7e7f5d6,0
faed7d4a,0
2c9802ce,0
85d19e1b,0
7511301e,0
4d2f1e1a,0
9594c79d,0
17b58b86,0
12188a20,0
1d8d6843,0
00cda37c,0
bd2ded14,0
7ea3c764,0
abece483,0
d61de09d,0
54d713fa,0
01e3d375,0
43251f20,0
7656c6e7,0
cdd6fdbd,0
01dfc6fc,0
70e6ce82,0
318803d6,0
9efe83c4,1
313765ba,0
ef388cba,0
aa2e88cd,0
7699ce10,0
9868ba8b,1
01de27e2,0
a12ab5c7,0
7e990cfe,0
d57d0b4b,0
382c2f98,0
600be491,0
98e25d5b,0
97ca3b61,0
61b15846,0
f50d0035,0
d76af558,0
02d81444,0
dfbc4e2c,0
da9c56b3,0
2debf260,0
09e394c2,0
4fa07261,0
8db1831f,0
103bf8ce,0
904ab22b,1
28fd9996,1
443fadc6,0
562fa962,0
fd68f6b4,0
6182a542,0
d64967c0,0
b7ff5efb,1
4e2d97b5,0
c5398636,0
38d0f512,0
8b133bbc,0
af6dacdd,0
732193ef,1
75d32a49,0
e9a620c4,0
3c9aa088,1
9551c097,1
2e4085b9,0
af809036,0
6f762245,0
a18754d4,0
af4ff845,0
aba21c1a,0
715464ae,0
a2dea31d,1
e0559741,0
0c497eae,0
9e84a139,0
d8b4254d,0
c9103baa,1
543d1fe6,0
c5ebab7e,0
639d870c,0
2902cf24,0
f4e4b57a,0
933ffc4d,0
23e699b9,0
f493602e,0
ce5da852,0
d9a6d591,0
ae7931e6,1
4190fc11,0
db87f6dc,0
ee145787,0
a64c7254,0
b1afba53,0
c08daeef,0
97626488,0
d76f3bbd,0
5dc46ed4,0
c4855c6f,0
5398194b,0
46e0807e,0
ab38cfec,0
d82c75a3,0
475e0ded,1
95be0c4a,0
29528c78,0
95c82482,1
20c6ccdc,0
b5176eed,1
6883085f,0
e9c6f04d,0
32f193a7,0
ec982f34,0
d1b5c154,1
63a01aed,0
56a8abf8,0
78dc375d,1
2f4dc902,1
14b2b918,0
62376469,0
732ab5bd,1
f699f31f,0
00ceea43,0
7a46ff70,0
55701b00,1
c1758945,0
d346b04f,0
bab00218,0
7cabbe40,0
2a18b003,0
b322b553,0
15f14c08,0
23cf5615,0
ebb59331,0
731e9e34,0
8460b2e7,0
d53cfc73,1
613aa72f,0
55f77882,0
2e7c5d31,1
3e8cc34a,0
f11793e1,0
4b9d4325,0
82024ed8,0
07366a4b,0
6d23a268,1
120d1bb0,0
182dfc04,0
915c5007,0
f5b05e07,0
fa668cac,0
f46ad647,0
302d5d54,0
9636964e,0
2ce3ae65,0
0d57dfd2,0
b597ee52,0
6499a888,0
5b4021d7,1
610617e0,0
520a94a9,1
714428a4,0
03af579a,0
5a5e0741,0
67c01fb5,0
aed9cc1f,0
0e95c4b9,0
3f92f5e8,0
72d368f7,0
b1a07393,0
d17ec789,0
1a10f1fc,0
3aef6c2a,0
722f0625,0
1a272c66,0
6142f7da,0
9e5fde60,0
31c91e2a,0
5e652675,0
9edc04cc,1
3be729b8,0
bb5181b0,1
787483c6,0
a7c01603,0
801c7155,0
333d4c31,0
f34d7984,0
540d0804,0
78bac041,0
f570f9d1,0
bf89d6e5,0
1f349c42,0
a948d934,0
6c229624,0
1388b5d0,0
